ROW_ID,PROJ_ID,EVT_STAT_CD,X_SUB_STATUS
"1-UHDBT4","1-1OUUNI","Reported","Done"
"1-UHDBTD","1-1OUUNI","Reported","Done"
"1-UHDBTK","1-1OUUNI","Reported","Done"
"1-UHDBTR","1-1OUUNI","Reported","Done"
"1-UHDBTY","1-1OUUNI","Reported","Done"
"1-UHDCBR","1-LWWKFV","Reported","Done"
"1-UHDCC0","1-LWWKFV","Reported","Done"
"1-UHDCC9","1-LWWKFV","Reported","Done"
"1-UHDCCI","1-LWWKFV","Reported","Done"
"1-UJ9V7Q","1-5Y61PH","Reported","Done"
"1-UJ9V7X","1-5Y61PH","Reported","Done"
"1-UJ9V84","1-5Y61PH","Cancelled","Cancelled"
"1-UJ9V8B","1-5Y61PH","Cancelled","Cancelled"
"1-UJ9V8I","1-5Y61PH","Reported","Done"
"1-UJ9V8P","1-5Y61PH","Reported","Done"
"1-UJ9V8W","1-5Y61PH","Reported","Done"
"1-UJ9V93","1-5Y61PH","Reported","Done"
"1-UJ9V9A","1-5Y61PH","Tentative","NA"
"1-UJ9V9H","1-5Y61PH","Tentative","NA"
"1-UJ9V9O","1-5Y61PH","Reported","Done"
"1-UJ9V9V","1-5Y61PH","Cancelled","Cancelled"
"1-UNLXZ9","1-9XMJR2","Reported","Done"
"1-UNMUO7","1-9XMJR2","Reported","Done"
"1-UQCZZJ","1-UQCZYG","Reported","Done"
"1-UQCZZP","1-UQCZYG","Reported","Done"
"1-UQCZZV","1-UQCZYG","Reported","Done"
"1-UQD001","1-UQCZYG","Cancelled","Cancelled"
"1-UQD007","1-UQCZYG","Reported","Done"
"1-UQD00D","1-UQCZYG","Reported","Done"
"1-UQD00K","1-UQCZYG","Reported","Done"
"1-UQD00S","1-UQCZYG","Cancelled","Cancelled"
"1-UQD010","1-UQCZYG","Cancelled","Cancelled"
"1-UQG62F","1-UQG61C","Reported","Done"
"1-UQG62M","1-UQG61C","Reported","Done"
"1-UQG62T","1-UQG61C","Reported","Done"
"1-UQG630","1-UQG61C","Reported","Done"
"1-UQG637","1-UQG61C","Reported","Done"
"1-UQG63E","1-UQG61C","Cancelled","Cancelled"
"1-UQG63L","1-UQG61C","Reported","Done"
"1-UQG63S","1-UQG61C","Reported","Done"
"1-UQG63Z","1-UQG61C","Reported","Done"
"1-UQG646","1-UQG61C","Reported","Done"
"1-UQG64D","1-UQG61C","Reported","Done"
"1-UQG64K","1-UQG61C","Reported","Done"
"1-UQG64R","1-UQG61C","Reported","Done"
"1-UQG64Y","1-UQG61C","Reported","Done"
"1-UQG655","1-UQG61C","Reported","Done"
"1-UQG65C","1-UQG61C","Reported","Done"
"1-UQG65J","1-UQG61C","Reported","Done"
"1-UQG65Q","1-UQG61C","Cancelled","Cancelled"
"1-UQG65X","1-UQG61C","Cancelled","Cancelled"
"1-UQG664","1-UQG61C","Reported","Done"
"1-UQG66B","1-UQG61C","Cancelled","Cancelled"
"1-UQG66I","1-UQG61C","Cancelled","Cancelled"
"1-UQG66P","1-UQG61C","Reported","Done"
"1-US6CNJ","1-781X1N","Reported","Done"
"1-US6CNQ","1-781X1N","Reported","Done"
"1-US6CNX","1-781X1N","Reported","Done"
"1-US6CO4","1-781X1N","Reported","Done"
"1-US6COB","1-781X1N","Reported","Done"
"1-UV7NFF","1-UV7NEL","Reported","Done"
"1-UV7NFK","1-UV7NEL","Reported","Done"
"1-UV7NFP","1-UV7NEL","Reported","Done"
"1-UV7NFU","1-UV7NEL","Reported","Done"
"1-V2PK9C","1-UV7NEL","Reported","Done"
"1-V2PK9J","1-UV7NEL","Reported","Done"
"1-V2PK9Q","1-UV7NEL","Reported","Done"
"1-V3HVUZ","1-V3HVU5","Reported","Done"
"1-V3HVV3","1-V3HVU5","Reported","Done"
"1-V3HVV7","1-V3HVU5","Reported","Done"
"1-V3HVVB","1-V3HVU5","Reported","Done"
"1-V3W33E","1-32SYEW","Reported","Done"
"1-V3W33L","1-32SYEW","Reported","Done"
"1-V3W33S","1-32SYEW","Reported","Done"
"1-V3W33Z","1-32SYEW","Reported","Done"
"1-V3W346","1-32SYEW","Reported","Done"
"1-V4M5VD","1-32SYEW","Cancelled","Cancelled"
"1-V4NYGX","1-71Z5X8","Reported","Done"
"1-V4NYLN","1-71Z5X8","Reported","Done"
"1-V7RP7J","1-49PB3G","Reported","Done"
"1-VS4GTO","1-VS4GSV","Reported","Done"
"1-VS4GTT","1-VS4GSV","Reported","Done"
"1-VS4GTY","1-VS4GSV","Cancelled","Cancelled"
"1-VS4GU3","1-VS4GSV","Reported","Done"
"1-VS9JEJ","1-LWWKFV","Reported","Done"
"1-VS9JES","1-LWWKFV","Reported","Done"
"1-VS9JF1","1-LWWKFV","Reported","Done"
"1-VS9JGQ","1-LWWKFV","Reported","Done"
"1-VS9JGX","1-LWWKFV","Reported","Done"
"1-VS9JH4","1-LWWKFV","Reported","Done"
"1-VSBG65","1-VSBG5C","Reported","Done"
"1-VTBFGA","1-P3HP1W","Reported","Done"
"1-VWNFYU","1-83HC4Y","Reported","Done"
"1-VWS5KP","1-41MR27","Reported","Done"
"1-VY4ZLK","1-2ROGYI","Reported","Done"
"1-VY4ZM1","1-2ROGYI","Reported","Done"
"1-VY4ZM8","1-2ROGYI","Reported","Done"
"1-VZ81EU","1-6KES4N","Reported","Done"
"1-VZ81F4","1-6KES4N","Reported","Done"
"1-VZ81FE","1-6KES4N","Reported","Done"
"1-VZ81FN","1-6KES4N","Reported","Done"
"1-VZFWKH","1-5XATBU","Reported","Done"
"1-VZFWKZ","1-5XATBU","Reported","Done"
"1-VZFWL7","1-5XATBU","Reported","Done"
"1-VZFWLF","1-5XATBU","Reported","Done"
"1-VZFWLN","1-5XATBU","Reported","Done"
"1-VZFWLU","1-5XATBU","Cancelled","Cancelled"
"1-VZFWM1","1-5XATBU","Cancelled","Cancelled"
"1-VZFWM8","1-5XATBU","Cancelled","Cancelled"
"1-VZIGEO","1-4ETO3W","Reported","Done"
"1-W2L9SD","1-403C69","Reported","Done"
"1-W2L9SM","1-403C69","Reported","Done"
"1-W2L9SV","1-403C69","Reported","Done"
"1-W2L9T4","1-403C69","Ready","Fully Booked"
"1-W2L9TD","1-403C69","Tentative","NA"
"1-W2L9TM","1-403C69","Reported","Done"
"1-W2L9TV","1-403C69","Tentative","NA"
"1-W2L9U4","1-403C69","Reported","Done"
"1-W2L9UD","1-403C69","Tentative","NA"
"1-W2Z1IF","1-1ELOCM","Reported","Done"
"1-W6O7YN","1-8G1MKI","Reported","Done"
"1-WCBUX8","1-9BD3F0","Reported","Done"
"1-WDGCWT","1-81M708","Reported","Done"
"1-WDGCXC","1-81M708","Reported","Done"
"1-WDGCXL","1-81M708","Reported","Done"
"1-WDGCXU","1-81M708","Reported","Done"
"1-WDGCY3","1-81M708","Reported","Done"
"1-WDGCYC","1-81M708","Reported","Done"
"1-WDGCYL","1-81M708","Reported","Done"
"1-WDGCYT","1-81M708","Reported","Done"
"1-WDGCZ2","1-81M708","Reported","Done"
"1-WDGCZB","1-81M708","Reported","Done"
"1-WDGCZK","1-81M708","Reported","Done"
"1-WDGCZT","1-81M708","Reported","Done"
"1-WDGD02","1-81M708","Reported","Done"
"1-WDGD0V","1-81M708","Reported","Done"
"1-WDGD14","1-81M708","Reported","Done"
"1-WDGD1D","1-81M708","Reported","Done"
"1-WDGD1M","1-81M708","Cancelled","Cancelled"
"1-WDGD1U","1-81M708","Reported","Done"
"1-WDGD23","1-81M708","Reported","Done"
"1-WDGD2B","1-81M708","Cancelled","Cancelled"
"1-WDGD2J","1-81M708","Reported","Done"
"1-WDGD2R","1-81M708","Reported","Done"
"1-WDGD30","1-81M708","Reported","Done"
"1-WDGD39","1-81M708","Reported","Done"
"1-WDGD3I","1-81M708","Reported","Done"
"1-WDGD3R","1-81M708","Reported","Done"
"1-WDGD40","1-81M708","Reported","Done"
"1-WDGD49","1-81M708","Reported","Done"
"1-WDGD4I","1-81M708","Reported","Done"
"1-WDGD4R","1-81M708","Cancelled","Cancelled"
"1-WDGD4Z","1-81M708","Reported","Done"
"1-WDQKTR","1-SEJUAZ","Reported","Done"
"1-WDQKTY","1-SEJUAZ","Reported","Done"
"1-WDQKU5","1-SEJUAZ","Reported","Done"
"1-WDQKUC","1-SEJUAZ","Reported","Done"
"1-WDQKUJ","1-SEJUAZ","Reported","Done"
"1-WJPO7X","1-38KNGX","Cancelled","Cancelled"
"1-WJQ4CE","1-38KNGX","Reported","Done"
"1-WJQ4CM","1-38KNGX","Reported","Done"
"1-WJQ4CV","1-38KNGX","Reported","Done"
"1-WLTF3B","1-RPWMWG","Reported","Done"
"1-WMBE0L","1-272JYS","Reported","Done"
"1-WMBE0V","1-272JYS","Reported","Done"
"1-WMBE15","1-272JYS","Reported","Done"
"1-WMBE1F","1-272JYS","Cancelled","Cancelled"
"1-WMBE1P","1-272JYS","Cancelled","Cancelled"
"1-WMBE1Z","1-272JYS","Tentative","NA"
"1-WMBE28","1-272JYS","Cancelled","Cancelled"
"1-WMBE2H","1-272JYS","Reported","Done"
"1-WMBE2R","1-272JYS","Cancelled","Cancelled"
"1-WMCFBD","1-272JYS","Cancelled","Cancelled"
"1-WTCMZT","1-3URMP4","Reported","Done"
"1-WTCN0B","1-3URMP4","Reported","Done"
"1-WTCN0J","1-3URMP4","Reported","Done"
"1-WTCN0R","1-3URMP4","Ready","Fully Booked"
"1-WTCN0Z","1-3URMP4","Reported","Done"
"1-WU4NE9","1-4PITVA","Reported","Done"
"1-WU4NEG","1-4PITVA","Reported","Done"
"1-WU4NEN","1-4PITVA","Reported","Done"
"1-WU4NEU","1-4PITVA","Reported","Done"
"1-WU4NF1","1-4PITVA","Reported","Done"
"1-WU4NF8","1-4PITVA","Reported","Done"
"1-WU4NFF","1-4PITVA","Reported","Done"
"1-WU5SKQ","1-9XMJR2","Reported","Done"
"1-WWTN5D","1-6KES4N","Reported","Done"
"1-WWXFZU","1-TVATS0","Reported","Done"
"1-WY7EY7","1-GSFNJ3","Reported","Done"
"1-WY7EYF","1-GSFNJ3","Reported","Done"
"1-X6LIGF","1-2JYOON","Reported","Done"
"1-X6LIGM","1-2JYOON","Reported","Done"
"1-X6LIGV","1-2JYOON","Reported","Done"
"1-X6LNY4","1-4PITVA","Tentative","NA"
"1-X6NQGE","1-4PITVA","Reported","Done"
"1-X6RZ3C","1-4PITVA","Reported","Done"
"1-X6RZ3J","1-4PITVA","Tentative","NA"
"1-X7E9AI","1-6N136Y","Reported","Done"
"1-XEREL4","1-6KES4N","Reported","Done"
"1-XF95CM","1-2GAYKA","Reported","Done"
"1-Y1GRBW","1-9ZBSIX","Reported","Done"
"1-Y1GRC3","1-9ZBSIX","Reported","Done"
"1-Y1GRC9","1-9ZBSIX","Reported","Done"
"1-Y1GRCF","1-9ZBSIX","Cancelled","Cancelled"
"1-Y1GRCL","1-9ZBSIX","Reported","Done"
"1-Y1GRCR","1-9ZBSIX","Reported","Done"
"1-Y1QBPX","1-9ZBSIX","Reported","Done"
"1-Y1QBQ4","1-9ZBSIX","Reported","Done"
"1-Y1QBQB","1-9ZBSIX","Reported","Done"
"1-Y1QBQI","1-9ZBSIX","Reported","Done"
"1-Y1QBQP","1-9ZBSIX","Reported","Done"
"1-Y1QBQW","1-9ZBSIX","Reported","Done"
"1-Y495YL","1-CKD70L","Reported","Done"
"1-Y495YS","1-CKD70L","Reported","Done"
"1-Y495Z0","1-CKD70L","Reported","Done"
"1-Y49DTZ","1-CI6MGY","Reported","Done"
"1-Y49DU6","1-CI6MGY","Cancelled","Cancelled"
"1-Y49DUE","1-CI6MGY","Reported","Done"
"1-Y4FDL3","1-38PARM","Reported","Done"
"1-Y4FDLA","1-38PARM","Reported","Done"
"1-Y4FDLJ","1-38PARM","Reported","Done"
"1-Y4G2NN","1-EWKD9J","Reported","Done"
"1-Y4G2NU","1-EWKD9J","Reported","Done"
"1-Y4G2O2","1-EWKD9J","Reported","Done"
"1-Y54FXN","1-P3HP1W","Reported","Done"
"1-Y6L527","1-1ELOCM","Reported","Done"
"1-Y7EVDR","1-3V5ASD","Reported","Done"
"1-Y7EVDY","1-3V5ASD","Reported","Done"
"1-Y7EVE7","1-3V5ASD","Reported","Done"
"1-Y7F3HL","1-3YZT7X","Reported","Done"
"1-Y7F3HS","1-3YZT7X","Reported","Done"
"1-Y7F3I1","1-3YZT7X","Reported","Done"
"1-Y7JJDR","1-6N136Y","Reported","Done"
"1-Y7JJDZ","1-6N136Y","Reported","Done"
"1-Y7QFSK","1-H1ES3J","Reported","Done"
"1-Y7QFSR","1-H1ES3J","Reported","Done"
"1-Y7QFSZ","1-H1ES3J","Reported","Done"
"1-Y7QVI8","1-36SDGA","Reported","Done"
"1-Y7QVIF","1-36SDGA","Reported","Done"
"1-Y7QVIO","1-36SDGA","Reported","Done"
